show_id,type,$=TRIM(PROPER(C2))$,director,cast,country,date_added,release_year,rating,genres,language,description,popularity,vote_count,vote_average,budget,revenue,Data_Quality_Notes
86328,Movie,Terrifier,Damien Leone,"Marie Maser, Mike Giannelli, Michael Chmiel, Daniel Rodas, Jennifer Castellano",United States of America,2011-08-09,2011,6.1,Horror,en,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",30.598,219,6.1,0,0,
59440,Movie,Warrior,Gavin O'Connor,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison, Frank Grillo",United States of America,2011-09-09,2011,7.842,"Drama, Action",en,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",30.589,4628,7.842,25000000,23300000,
55846,Movie,Blitz,Elliott Lester,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton, Luke Evans","France, United Kingdom, United States of America",2011-05-20,2011,6.177,"Crime, Action, Thriller",en,A tough cop is dispatched to take down a serial killer who has been targeting police officers.,30.12,1664,6.177,15774948,15800000,
50839,Movie,Margin Call,J.C. Chandor,"Kevin Spacey, Zachary Quinto, Paul Bettany, Jeremy Irons, Simon Baker",United States of America,2011-09-28,2011,6.9,"Thriller, Drama",en,A thriller that revolves around the key people at an investment bank over a 24-hour period during the early stages of the financial crisis.,30.117,1832,6.9,3500000,19504039,
114168,Movie,Perras,Guillermo Ríos,"Claudia Zepeda, Karen de la Hoya, Scarlet Dergal, Alenka Ríos, Steph Bumelcrownd",Mexico,2011-03-04,2011,7.174,"Thriller, Drama, Romance",es,"Something terrible is happening in class 3A at Calmecatl Junior High. No one can leave the classroom until the guilty party is found. This is the device that gives us a glimpse of the ethics, games, esthetics and eroticism of these girl-women. It is not easy to say what the subject is, there are so many: the discovery of sexuality, discrimination, chance, drugs, maternity, traditions, betrayals, power, love. A mural of a complex reality from the point of view of twenty-something women in the skin of 14 to 15 year old girls.",29.699,290,7.174,0,0,
55301,Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler",United States of America,2011-12-14,2011,5.7,"Comedy, Fantasy, Family, Music, Animation",en,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",28.844,2205,5.7,75000000,342695435,
116322,Movie,The Legend of La Llorona,Alberto Rodríguez,"Rafael Inclán, Yair Prado, Mónica del Carmen, Mayté Cordero, Rosario Zúñiga",Mexico,2011-10-21,2011,7.777,"Family, Animation, Fantasy, Horror",es,"Based on a famous Mexican legend, a group of kids must stop the ghost of a woman whose guilt over the drowning of her own children leads her to abduct youngsters who wander the woods at night.",28.754,265,7.777,0,3900000,
60307,Movie,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,"Zachary Gordon, Devon Bostick, Robert Capron, Steve Zahn, Rachael Harris",United States of America,2011-03-25,2011,6.6,"Family, Comedy",en,"Wimpy Greg Heffley, now in seventh grade, thinks he has it all together. He has mastered middle school and gotten rid of the Cheese Touch. However, Greg's older brother, Rodrick, is itching to cut him down to size. He gets the perfect opportunity when their mother tries to force the boys to bond. Rodrick may be Greg's chief tormentor, but he feels his constant pranks are just what his little brother needs to prepare him for life's hard knocks.",28.707,1145,6.6,21000000,72526996,
81481,Movie,Silenced,Hwang Dong-hyuk,"Gong Yoo, Jung Yu-mi, Kim Hyun-soo, Jung In-seo, Baek Seung-hwan",South Korea,2011-09-22,2011,8.1,Drama,ko,"Based on actual events that took place at Gwangju Inhwa School for the hearing-impaired, where young deaf students were the victims of repeated sexual assaults by faculty members over a period of five years in the early 2000s.",27.684,658,8.1,2200000,31500000,
37430,Movie,Conan the Barbarian,Marcus Nispel,"Jason Momoa, Stephen Lang, Rachel Nichols, Ron Perlman, Rose McGowan",United States of America,2011-08-17,2011,5.3,"Adventure, Fantasy, Action",en,"A quest that begins as a personal vendetta for the fierce Cimmerian warrior soon turns into an epic battle against hulking rivals, horrific monsters, and impossible odds, as Conan realizes he is the only hope of saving the great nations of Hyboria from an encroaching reign of supernatural evil.",27.466,1879,5.3,90000000,63523283,
23047,Movie,Season of the Witch,Dominic Sena,"Nicolas Cage, Ron Perlman, Ulrich Thomsen, Christopher Lee, Fernanda Dorogi",United States of America,2011-01-07,2011,5.5,"Adventure, Fantasy, Action",en,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",27.267,2443,5.5,40000000,91627228,
51540,Movie,Horrible Bosses,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Kevin Spacey, Jennifer Aniston",United States of America,2011-07-08,2011,6.6,"Comedy, Crime",en,"For Nick, Kurt and Dale, the only thing that would make the daily grind more tolerable would be to grind their intolerable bosses into dust. Quitting is not an option, so, with the benefit of a few-too-many drinks and some dubious advice from a hustling ex-con, the three friends devise a convoluted and seemingly foolproof plan to rid themselves of their respective employers... permanently.",27.209,6398,6.6,35000000,209838559,
